* Microwind Version 3.5, simulation of "D:\Documents and Settings\sicard\Mes documents\software\Microwind\microwind35\examples\counters\ClockDiv4.MSK" 
* generated on 08/02/2008, 10:13:07
TimeUnit=0.100
Time(ns)     IDD(mA)   dreg1_ClockDiv4(V)
     0.100   0.063827      0.497
     0.200   0.002661      0.033
     0.300   0.000004      0.000
     0.400   0.000001      0.000
     0.500   0.000001      0.000
     0.600   0.000002      0.000
     0.700   0.000002      0.000
     0.800   0.000002      0.000
     0.900   0.000002      0.000
     1.000   0.042809      0.000
     1.100   0.067717      0.000
     1.200   0.028123      0.000
     1.300   0.025234      0.000
     1.400   0.024067      0.000
     1.500   0.023225      0.000
     1.600   0.022557      0.000
     1.700   0.022002      0.000
     1.800   0.021526      0.000
     1.900   0.021111      0.000
